  nmc,rv,ic,dc,nc,rc,vmc,cc,emv,m,cb,i,ri,rs,es,in
nmc,0,0.912872443187575,0.930641256601084,0.9179612211852,0.918805112501332,0.918805112501332,0.919984770910903,0.922275305888159,0.914379046588874,0.938255686656246,0.936063380011214,0.937773410817828,0.938158229246426,0.944064874668438,0.944064874668438,0.962825233891707
rv,0.936971017906872,0,0.947174830110304,0.938231094556422,0.938978176381589,0.938978176381589,0.950027717465578,0.941747320360889,0.949954211087725,0.952766683844643,0.957508039159955,0.955500261761764,0.955349881048762,0.953110196571853,0.953110196571853,0.968304262196398
ic,0.823391945429951,0.826109524803312,0,0.821648591113949,0.823391945429951,0.823391945429951,0.825015875424689,0.818178964830264,0.819051843678458,0.882920965001658,0.873608297705974,0.88000500482116,0.879706743796066,0.886072910776798,0.886072910776798,0.883675375086386
dc,0.855984278076436,0.862515012875419,0.860454824597107,0,0.856061577759052,0.856061577759052,0.854519423265238,0.863096015548259,0.851635290227336,0.899498423660773,0.89716441022088,0.895761806713103,0.896293567337748,0.911706414309292,0.911706414309292,0.848073905354698
nc,0.917608697261532,0.920990144202921,0.917991245631062,0.9168453565076,0,0.917938262472486,0.917179733061505,0.918821189323257,0.915956647860321,0.944970789497245,0.947917298207937,0.947679896668576,0.947565926875028,0.956923692408114,0.956923692408114,0.946555626435399
rc,0.859865563997216,0.862779455203672,0.874451792488382,0.858368997106969,0.860426101741228,0,0.874804416569563,0.86312506582473,0.868877496361537,0.908673543458431,0.908454196221659,0.918598093264877,0.918867510585739,0.92645085791422,0.92645085791422,0.925359906562851
vmc,0.759924296665764,0.765663188549159,0.766841570986394,0.765028537982157,0.763542493422907,0.763542493422907,0,0.762821733057595,0.757994913057168,0.758112007387636,0.7828282713997,0.781661232952597,0.784542775163001,0.800725365505477,0.800725365505477,0.754275850654757
cc,0.935621192555499,0.935082457765169,0.934421532781567,0.936673496855649,0.936477157904639,0.936477157904639,0.934072604512929,0,0.926033320885582,0.948168472441596,0.948674670164273,0.944429996498299,0.944122979904367,0.960066095328174,0.960066095328174,0.956540647894084
emv,0.864272093378653,0.870992837176695,0.868101728908573,0.869173676514371,0.870208737099614,0.870208737099614,0.867041694395849,0.866332815247067,0,0.887365987358431,0.89866306482147,0.891365815154674,0.894167911910641,0.90240153120158,0.90240153120158,0.929744421987197
m,0.776510085172829,0.777072884686127,0.777072884686127,0.774411436116209,0.777072884686127,0.777072884686127,0.776094033455725,0.772137880891641,0.778034052189776,0,0.787228699325827,0.801537641979824,0.800265447377131,0.79533568812554,0.79533568812554,0.873543132308541
cb,0.7623224713072,0.760493203014518,0.761655857368816,0.761058215178887,0.761655857368816,0.761655857368816,0.767745058754898,0.762969352454895,0.760073299245225,0.763260297586902,0,0.81675180801849,0.819813313287638,0.834684628025904,0.834684628025904,0.764084226920511
i,0.855838303268171,0.853832955674588,0.854610439952915,0.855068451951985,0.854610439952915,0.854610439952915,0.851836700816279,0.852715962000162,0.85288694252038,0.862469247146861,0.859180549257476,0,0.859061713844523,0.862954929718134,0.862954929718134,0.850548700182946
ri,0.669043523444339,0.669043523444339,0.665465750591695,0.664061657268447,0.665465750591695,0.665465750591695,0.66444372364004,0.661953170895445,0.671023007644084,0.67836813265372,0.669043523444339,0.665465750591695,0,0.706122904493562,0.706122904493562,0.765364121243412
rs,0.744121326843991,0.744121326843991,0.744121326843991,0.735249051424257,0.744121326843991,0.744121326843991,0.740798227192615,0.750545572287254,0.738108402139973,0.737409477150181,0.748108402139973,0.744704461628351,0.744704461628351,0,0.744121326843991,0.861146926880995
es,0.85708812421309,0.85708812421309,0.85708812421309,0.852109411711273,0.85708812421309,0.85708812421309,0.855232125826247,0.8557196298742,0.851371649181614,0.845875593460113,0.864704982514947,0.862876671467852,0.862876671467852,0.85708812421309,0,0.895621823326684
in,0.641899194535031,0.641899194535031,0.641899194535031,0.566614933734352,0.641899194535031,0.641899194535031,0.641899194535031,0.641899194535031,0.641899194535031,0.641899194535031,0.641899194535031,0.620834441272385,0.620834441272385,0.656007017348944,0.656007017348944,0
